"FileID","Word Num","Normalized","Language","w/n/naw","Element"
    idum0083,1,"ב",arc,"w","<w xml:id=""idum0083-1"" xml:lang=""arc"">ב</w>"
            idum0083,2,"2",arc,"n","<num xml:id=""idum0083-2"" value=""1"" xml:lang=""arc"">2</num>"
            idum0083,3,"לשבט",arc,"w","<w xml:id=""idum0083-3"" xml:lang=""arc"">ל<unclear>שב</unclear><supplied reason=""lost"">ט</supplied></w>"
            idum0083,4,"לבני",arc,"w","<w xml:id=""idum0083-4"" xml:lang=""arc"">לבני</w>"
            idum0083,5,"גורוגירו",arc,"w","<w xml:id=""idum0083-5"" xml:lang=""arc""><supplied reason=""lost"" evidence=""parallel""><choice><unclear>גורו</unclear><unclear>גירו</unclear></choice></supplied></w>"
            caes0336,1,"αν",grc,"naw","<orig xml:id=""caes0336-1"" xml:lang=""grc""><unclear>αν</unclear></orig>"
            caes0336,2,"Χρυσ",grc,"naw","<orig xml:id=""caes0336-2"" xml:lang=""grc""><unclear>Χ</unclear>ρυσ</orig>"
            elus0092,1,"ΣΙ",grc,"naw","<orig xml:id=""elus0092-1"" xml:lang=""grc""><unclear>Σ</unclear>Ι</orig>"
            mger0113,1,"זי",arc,"w","<w xml:id=""mger0113-1"" xml:lang=""arc""><supplied reason=""lost"">זי</supplied></w>"
            mger0113,2,"הקרב",arc,"w","<w xml:id=""mger0113-2"" xml:lang=""arc""><supplied reason=""lost"">ה</supplied><unclear>ק</unclear>ר<unclear>ב</unclear></w>"
            jeru0094,1,"שלום",arc,"w","<w xml:id=""jeru0094-1"" xml:lang=""arc"">שלום</w>"
            jeru0094,2,"שלום",arc,"w","<w xml:id=""jeru0094-2"" xml:lang=""arc"">שלום</w>"
            jeru0094,3,"שלום",arc,"w","<w xml:id=""jeru0094-3"" xml:lang=""arc"">שלום</w>"
            jeru0094,4,"שלום",arc,"w","<w xml:id=""jeru0094-4"" xml:lang=""arc"">שלום</w>"
            jeru0094,5,"שלום",arc,"w","<w xml:id=""jeru0094-5"" xml:lang=""arc"">שלום</w>"
            jeru0094,6,"שלום",arc,"w","<w xml:id=""jeru0094-6"" xml:lang=""arc"">שלום</w>"
            masa0844,1,"O",la,"naw","<orig xml:id=""masa0844-1"" xml:lang=""la""><unclear>O</unclear></orig>"
            masa0844,2,"C",la,"naw","<orig xml:id=""masa0844-2"" xml:lang=""la"">C</orig>"
            masa0850,1,"XXXX",la,"n","<num xml:id=""masa0850-1"" value=""40"" xml:lang=""la"">XXXX</num>"
            masa0688,1,"מ",arc,"naw","<orig xml:id=""masa0688-1"" xml:lang=""arc"">מ</orig>"
            caes0444,1,"Γ",grc,"naw","<orig xml:id=""caes0444-1"" xml:lang=""grc"">Γ</orig>"
            caes0444,2,"Αὒγη",grc,"w","<w xml:id=""caes0444-2"" xml:lang=""grc"">Α<supplied reason=""lost"">ὒ</supplied>γη</w>"
            caes0444,3,"Ο",grc,"naw","<orig xml:id=""caes0444-3"" xml:lang=""grc"">Ο</orig>"
            mger0107,1,"זי",arc,"w","<w xml:id=""mger0107-1"" xml:lang=""arc""><supplied reason=""lost"">זי</supplied></w>"
            mger0107,2,"הקרב",arc,"w","<w xml:id=""mger0107-2"" xml:lang=""arc""><unclear>ה</unclear>קרב</w>"
            jeru0080,1,"Παπίας",grc,"w","<w xml:id=""jeru0080-1"" xml:lang=""grc"">Παπίας</w>"
            jeru0080,2,"פפיס",heb,"w","<w xml:id=""jeru0080-2"" xml:lang=""heb"">פפיס</w>"
            jeru0080,3,"הבשני",heb,"w","<w xml:id=""jeru0080-3"" xml:lang=""heb"">הבשני</w>"
            jeru0080,4,"Παπίας",grc,"w","<w xml:id=""jeru0080-4"" xml:lang=""grc"">Παπίας</w>"
            jeru0080,5,"καὶ",grc,"w","<w xml:id=""jeru0080-5"" xml:lang=""grc"">καὶ</w>"
            jeru0080,6,"Σαλωμιχ",grc,"w","<w xml:id=""jeru0080-6"" xml:lang=""grc"">Σαλωμιχ</w>"
            jeru0080,7,"Σκυθοπολείται",grc,"w","<w xml:id=""jeru0080-7"" xml:lang=""grc"">Σκυθοπολείται</w>"
            idum0097,1,"חלפו",arc,"w","<w xml:id=""idum0097-1"" xml:lang=""arc"">חלפו</w>"
            idum0097,2,"לבני",arc,"w","<w xml:id=""idum0097-2"" xml:lang=""arc"">לבני</w>"
            idum0097,3,"גור",arc,"w","<w xml:id=""idum0097-3"" xml:lang=""arc"">גור</w>"
            idum0097,4,"גרגרן",arc,"w","<w xml:id=""idum0097-4"" xml:lang=""arc"">גרגרן</w>"
            idum0097,5,"מובל",arc,"w","<w xml:id=""idum0097-5"" xml:lang=""arc"">מובל</w>"
            idum0097,6,"1",arc,"n","<num xml:id=""idum0097-6"" value=""1"" xml:lang=""arc"">1</num>"
            elus0086,1,"ΕΥ",grc,"naw","<orig xml:id=""elus0086-1"" xml:lang=""grc"">ΕΥ</orig>"
            zoor0201,1,"Εἶς",grc,"w","<w xml:id=""zoor0201-1"" xml:lang=""grc"">Εἶς</w>"
            zoor0201,2,"θεός.",grc,"w","<w xml:id=""zoor0201-2"" xml:lang=""grc"">θεός.</w>"
            zoor0201,3,"Μνημῖον",grc,"naw","<orig xml:id=""zoor0201-3"" xml:lang=""grc"">Μνημῖον</orig>"
            zoor0201,4,"Μαργαλίης",grc,"w","<w xml:id=""zoor0201-4"" xml:lang=""grc"">Μαργαλίης</w>"
            zoor0201,5,"Θεοδούλου",grc,"w","<w xml:id=""zoor0201-5"" xml:lang=""grc"">Θεοδούλου,</w>"
            zoor0201,6,"ἀποθανούσης",grc,"w","<w xml:id=""zoor0201-6"" xml:lang=""grc"">ἀποθανούσης</w>"
            zoor0201,7,"μετὰ",grc,"w","<w xml:id=""zoor0201-7"" xml:lang=""grc"">μ<unclear>ε</unclear>τὰ</w>"
            zoor0201,8,"καλοῦ",grc,"w","<w xml:id=""zoor0201-8"" xml:lang=""grc"">καλοῦ</w>"
            zoor0201,9,"ὀνοηατος",grc,"naw","<orig xml:id=""zoor0201-9"" xml:lang=""grc"">ὀνοηατος</orig>"
            zoor0201,10,"ἐτῶν",grc,"w","<w xml:id=""zoor0201-10"" xml:lang=""grc"">ἐτῶν</w>"
            zoor0201,11,"ιηʹ",grc,"n","<num xml:id=""zoor0201-11"" xml:lang=""grc"">ιηʹ</num>"
            zoor0201,12,"ἐν",grc,"w","<w xml:id=""zoor0201-12"" xml:lang=""grc"">ἐν</w>"
            zoor0201,13,"μηνὶ",grc,"w","<w xml:id=""zoor0201-13"" xml:lang=""grc"">μηνὶ</w>"
            zoor0201,14,"Αὐδονέου",grc,"naw","<orig xml:id=""zoor0201-14"" xml:lang=""grc"">Αὐδονέου</orig>"
            zoor0201,15,"ιςʹ",grc,"n","<num xml:id=""zoor0201-15"" xml:lang=""grc"">ιςʹ</num>"
            zoor0201,16,"τοῦ",grc,"w","<w xml:id=""zoor0201-16"" xml:lang=""grc"">τοῦ</w>"
            zoor0201,17,"ἔτους",grc,"w","<w xml:id=""zoor0201-17"" xml:lang=""grc"">ἔτους</w>"
            zoor0201,18,"τμθʹ",grc,"n","<num xml:id=""zoor0201-18"" xml:lang=""grc"">τμθʹ</num>"
            zoor0201,19,"ἐν",grc,"w","<w xml:id=""zoor0201-19"" xml:lang=""grc"">ἐν</w>"
            zoor0201,20,"ἡμέρᾳ",grc,"w","<w xml:id=""zoor0201-20"" xml:lang=""grc""><expan><abbr>ἡμ</abbr><ex>έρᾳ</ex></expan></w>"
            zoor0201,21,"ζʹ",grc,"n","<num xml:id=""zoor0201-21"" xml:lang=""grc"">ζʹ</num>"
            zoor0201,22,"θάρσι",grc,"naw","<orig xml:id=""zoor0201-22"" xml:lang=""grc"">θάρσι</orig>"
            zoor0201,23,"οὐδὶς",grc,"naw","<orig xml:id=""zoor0201-23"" xml:lang=""grc"">οὐδὶς</orig>"
            zoor0201,24,"ἀθάνατος.",grc,"w","<w xml:id=""zoor0201-24"" xml:lang=""grc"">ἀθάνατος.</w>"
            idum0040,1,"קוסמלך",arc,"w","<w xml:id=""idum0040-1"" xml:lang=""arc"">קוסמלך</w>"
            idum0040,2,"ועידרן",arc,"w","<w xml:id=""idum0040-2"" xml:lang=""arc""><unclear>ו</unclear>עי<choice><unclear>ד</unclear><unclear>ר</unclear></choice>ן</w>"
            idum0040,3,"לב",arc,"w","<w xml:id=""idum0040-3"" xml:lang=""arc"">ל<supplied reason=""lost"">ב</supplied></w>"
            idum0040,4,"ני",arc,"w","<w xml:id=""idum0040-4"" xml:lang=""arc""><unclear>ני</unclear></w>"
            idum0040,5,"בעלרים",arc,"w","<w xml:id=""idum0040-5"" xml:lang=""arc"">ב<unclear>ע</unclear>ל<unclear>רי</unclear>ם</w>"
            idum0040,6,"קמח",arc,"w","<w xml:id=""idum0040-6"" xml:lang=""arc""><unclear>קמח</unclear></w>"
            idum0040,7,"כר",arc,"w","<w xml:id=""idum0040-7"" xml:lang=""arc"">כר</w>"
            idum0040,8,"חד",arc,"w","<w xml:id=""idum0040-8"" xml:lang=""arc"">חד</w>"
            idum0040,9,"קבן",arc,"w","<w xml:id=""idum0040-9"" xml:lang=""arc"">ק<unclear>ב</unclear>ן</w>"
            idum0040,10,"ארבעה",arc,"w","<w xml:id=""idum0040-10"" xml:lang=""arc""><unclear>ארבעה</unclear></w>"
            idum0040,11,"ב",arc,"w","<w xml:id=""idum0040-11"" xml:lang=""arc"">ב</w>"
            idum0040,12,"1",arc,"n","<num xml:id=""idum0040-12"" value=""1"" xml:lang=""arc"">1</num>"
            idum0040,13,"לאיר",arc,"w","<w xml:id=""idum0040-13"" xml:lang=""arc"">ל<unclear>איר</unclear></w>"
            idum0040,14,"לתרען",arc,"w","<w xml:id=""idum0040-14"" xml:lang=""arc"">ל<unclear>תרע</unclear>ן</w>"
