"FileID","Word Num","Normalized","Language","w/n/naw","Element"
    anun0001,1,"Ὁ",grc,"w","<w xml:id=""anun0001-1"" xml:lang=""grc"">Ὁ</w>"
            anun0001,2,"εἰσερχόμενος",grc,"w","<w xml:id=""anun0001-2"" xml:lang=""grc"">εἰσερχόμενος</w>"
            anun0001,3,"εὐξάσθω",grc,"w","<w xml:id=""anun0001-3"" xml:lang=""grc"">εὐξάσθω</w>"
            anun0001,4,"ὑπὲρ",grc,"w","<w xml:id=""anun0001-4"" xml:lang=""grc"">ὑπὲρ</w>"
            anun0001,5,"Προβατίου",grc,"w","<w xml:id=""anun0001-5"" xml:lang=""grc"">Προβατίου</w>"
            anun0001,6,"τοῦ",grc,"w","<w xml:id=""anun0001-6"" xml:lang=""grc"">τοῦ</w>"
            anun0001,7,"πρεσβυτέρου",grc,"w","<w xml:id=""anun0001-7"" xml:lang=""grc"">πρεσβυτέρου</w>"
            anun0002,1,"Κύριε",grc,"w","<w xml:id=""anun0002-1"" xml:lang=""grc""><expan><abbr>Κ</abbr><ex>ύρι</ex><abbr>ε</abbr></expan></w>"
            anun0002,2,"μνήσθητι",grc,"w","<w xml:id=""anun0002-2"" xml:lang=""grc"">μνήσθητι</w>"
            anun0002,3,"τῶν",grc,"w","<w xml:id=""anun0002-3"" xml:lang=""grc"">τῶν</w>"
            anun0002,4,"δούλων",grc,"w","<w xml:id=""anun0002-4"" xml:lang=""grc"">δούλων</w>"
            anun0002,5,"σοῦ",grc,"w","<w xml:id=""anun0002-5"" xml:lang=""grc"">σοῦ</w>"
            anun0002,6,"Θαίμωνος",grc,"w","<w xml:id=""anun0002-6"" xml:lang=""grc"">Θαίμωνος</w>"
            anun0002,7,"καὶ",grc,"w","<w xml:id=""anun0002-7"" xml:lang=""grc"">καὶ</w>"
            anun0002,8,"Ἰωάννου",grc,"w","<w xml:id=""anun0002-8"" xml:lang=""grc"">Ἰωάννου</w>"
            anun0002,9,"καὶ",grc,"w","<w xml:id=""anun0002-9"" xml:lang=""grc"">καὶ</w>"
            anun0002,10,"Ἰωάννου",grc,"w","<w xml:id=""anun0002-10"" xml:lang=""grc"">Ἰωάννου</w>"
            anun0002,11,"τῶν",grc,"w","<w xml:id=""anun0002-11"" xml:lang=""grc"">τῶν</w>"
            anun0002,12,"πρεσβυτέρων",grc,"w","<w xml:id=""anun0002-12"" xml:lang=""grc"">πρεσβυτέρων,</w>"
            anun0002,13,"ἀμήν",grc,"w","<w xml:id=""anun0002-13"" xml:lang=""grc"">ἀμήν</w>"
            anun0003,1,"Κύριε",grc,"w","<w xml:id=""anun0003-1"" xml:lang=""grc""><expan><abbr>Κ</abbr><ex>ύρι</ex><abbr>ε</abbr></expan></w>"
            anun0003,2,"μνήσθητι",grc,"w","<w xml:id=""anun0003-2"" xml:lang=""grc"">μνήσθητι</w>"
            anun0003,3,"τοῦ",grc,"w","<w xml:id=""anun0003-3"" xml:lang=""grc"">τοῦ</w>"
            anun0003,4,"διακόνου",grc,"w","<w xml:id=""anun0003-4"" xml:lang=""grc"">διακόνου</w>"
            anun0003,5,"Σαλαωνος",grc,"w","<w xml:id=""anun0003-5"" xml:lang=""grc"">Σαλαωνος</w>"
            anun0003,6,"οἰκονόμου",grc,"w","<w xml:id=""anun0003-6"" xml:lang=""grc""><expan><abbr>οἰκονό</abbr><ex>μου</ex></expan></w>"
            anun0004,1,"Κύριε",grc,"w","<w xml:id=""anun0004-1"" xml:lang=""grc""><expan><abbr>Κ</abbr><ex>ύρι</ex><abbr>ε</abbr></expan></w>"
            anun0004,2,"μνήσθητι",grc,"w","<w xml:id=""anun0004-2"" xml:lang=""grc""><expan><abbr>μνήσ</abbr><ex>θητι</ex></expan></w>"
            anun0004,3,"τῶν",grc,"w","<w xml:id=""anun0004-3"" xml:lang=""grc"">τῶν</w>"
            anun0004,4,"προσνεγκαντων",grc,"w","<w xml:id=""anun0004-4"" xml:lang=""grc""><expan><abbr>πρ<supplied reason=""lost"">οσ</supplied>νε</abbr><ex>γ</ex><abbr>καντ</abbr><ex>ων</ex></expan></w>"
            anun0004,5,"καὶ",grc,"w","<w xml:id=""anun0004-5"" xml:lang=""grc"">καὶ</w>"
            bleh0002,1,"Ἐπὶ",grc,"w","<w xml:id=""bleh0002-1"" xml:lang=""grc""><supplied reason=""lost"">Ἐπὶ</supplied></w>"
            bleh0002,2,"τοῦ",grc,"w","<w xml:id=""bleh0002-2"" xml:lang=""grc""><supplied reason=""lost"">τοῦ</supplied></w>"
            bleh0002,3,"ἁγιωτάτου",grc,"w","<w xml:id=""bleh0002-3"" xml:lang=""grc""><supplied reason=""lost"">ἁγ</supplied><expan><abbr>ι</abbr><ex>ωτάτου</ex></expan></w>"
            bleh0002,4,"Ἰωάννου",grc,"w","<w xml:id=""bleh0002-4"" xml:lang=""grc""><supplied reason=""lost"">Ἰωάννου</supplied></w>"
            bleh0002,5,"ἀρχιεπισκόπου",grc,"w","<w xml:id=""bleh0002-5"" xml:lang=""grc"">ἀρχιεπισ<supplied reason=""lost"">κόπου</supplied></w>"
            bleh0002,6,"ἡγιάσθη",grc,"w","<w xml:id=""bleh0002-6"" xml:lang=""grc""><supplied reason=""lost"">ἡγι</supplied>άσθη</w>"
            bleh0002,7,"ὁ",grc,"w","<w xml:id=""bleh0002-7"" xml:lang=""grc"">ὁ</w>"
            bleh0002,8,"οἶ",grc,"w","<w xml:id=""bleh0002-8"" xml:lang=""grc"">οἶ</w>"
            bleh0002,9,"κος",grc,"w","<w xml:id=""bleh0002-9"" xml:lang=""grc""><supplied reason=""lost"">κος</supplied></w>"
            bleh0002,10,"βασιλείας",grc,"w","<w xml:id=""bleh0002-10"" xml:lang=""grc""><supplied reason=""lost"">βασιλείας</supplied></w>"
            bleh0002,11,"Μαυρικίου",grc,"w","<w xml:id=""bleh0002-11"" xml:lang=""grc""><supplied reason=""lost"">Μαυρικίου</supplied></w>"
            bleh0002,12,"ἔτους",grc,"w","<w xml:id=""bleh0002-12"" xml:lang=""grc""><supplied reason=""lost"">ἔτο</supplied>υς</w>"
            bleh0002,13,"ὀγδόου",grc,"w","<w xml:id=""bleh0002-13"" xml:lang=""grc"">ὀγδό<supplied reason=""lost"">ου</supplied></w>"
            bleh0002,14,"ὑπὲρ",grc,"w","<w xml:id=""bleh0002-14"" xml:lang=""grc""><supplied reason=""lost"">ὑπὲρ</supplied></w>"
            bleh0002,15,"σωτηρίας",grc,"w","<w xml:id=""bleh0002-15"" xml:lang=""grc""><supplied reason=""lost"">σωτηρίας</supplied></w>"
            bleh0002,16,"αὐτοῦ",grc,"w","<w xml:id=""bleh0002-16"" xml:lang=""grc""><supplied reason=""lost"">αὐτοῦ</supplied></w>"
            bleh0002,17,"καὶ",grc,"w","<w xml:id=""bleh0002-17"" xml:lang=""grc""><supplied reason=""lost"">κ</supplied>αὶ</w>"
            bleh0002,18,"τῶν",grc,"w","<w xml:id=""bleh0002-18"" xml:lang=""grc"">τῶν</w>"
            bleh0002,19,"καρποφορησάντων",grc,"w","<w xml:id=""bleh0002-19"" xml:lang=""grc""><supplied reason=""lost"">καρποφορησάντω</supplied>ν</w>"
            bleh0002,20,"καὶ",grc,"w","<w xml:id=""bleh0002-20"" xml:lang=""grc""><expan><abbr>κ</abbr><ex>αὶ</ex></expan></w>"
            bleh0002,21,"Θεοδώρουκαὶ",grc,"w","<w xml:id=""bleh0002-21"" xml:lang=""grc"">Θεο<supplied reason=""lost"" cert=""low"">δώρουκαὶ</supplied></w>"
            bleh0002,22,"διακόνων",grc,"w","<w xml:id=""bleh0002-22"" xml:lang=""grc""><expan><abbr><supplied reason=""lost"">δι</supplied>ακό</abbr><ex>νων</ex></expan></w>"
            bleh0002,23,"τῆς",grc,"w","<w xml:id=""bleh0002-23"" xml:lang=""grc"">τῆς</w>"
            bleh0002,24,"ἁγίας",grc,"w","<w xml:id=""bleh0002-24"" xml:lang=""grc""><supplied reason=""lost"">ἁγίας</supplied></w>"
            bleh0002,25,"Ἀναστάσεως",grc,"w","<w xml:id=""bleh0002-25"" xml:lang=""grc""><supplied reason=""lost"">Ἀναστάσεως,</supplied></w>"
            bleh0002,26,"καὶ",grc,"w","<w xml:id=""bleh0002-26"" xml:lang=""grc""><supplied reason=""lost"">καὶ</supplied></w>"
            bleh0002,27,"ὑπὲρ",grc,"w","<w xml:id=""bleh0002-27"" xml:lang=""grc"">ὑπὲρ</w>"
