FileID,Word Num,Normalized,Language,w/n/naw,Element
bshm0001,1,לוי,arc,w,"<w xml:id=""bshm0001-1"" xml:lang=""arc"">לוי</w>"
bshm0001,2,בר,arc,w,"<w xml:id=""bshm0001-2"" xml:lang=""arc"">בר</w>"
bshm0001,3,מנשה,arc,w,"<w xml:id=""bshm0001-3"" xml:lang=""arc"">מנשה</w>"
bshm0001,4,בגפיה,arc,w,"<w xml:id=""bshm0001-4"" xml:lang=""arc"">בגפיה</w>"
esin0001,1,חנניה,arc,w,"<w xml:id=""esin0001-1"" xml:lang=""arc"">חנניה</w>"
esin0001,2,בר,arc,w,"<w xml:id=""esin0001-2"" xml:lang=""arc"">בר</w>"
esin0001,3,אלעזר,arc,w,"<w xml:id=""esin0001-3"" xml:lang=""arc"">אלעזר</w>"
esin0001,4,בר,arc,w,"<w xml:id=""esin0001-4"" xml:lang=""arc"">בר</w>"
odob0028,1,עבדת,arc,w,"<w xml:id=""odob0028-1"" xml:lang=""arc"">עבדת</w>"
odob0028,2,ופצאל,arc,w,"<w xml:id=""odob0028-2"" xml:lang=""arc"">ופצאל</w>"
odob0028,3,וסשעודת,arc,w,"<w xml:id=""odob0028-3"" xml:lang=""arc"">וסשעודת</w>"
odob0028,4,בניחרתת,arc,w,"<w xml:id=""odob0028-4"" xml:lang=""arc"">בניחרתת</w>"
odob0030,1,חרתת,arc,w,"<w xml:id=""odob0030-1"" xml:lang=""arc""><supplied reason=""lost"">חר</supplied>תת</w>"
odob0030,2,שלם,arc,w,"<w xml:id=""odob0030-2"" xml:lang=""arc""><supplied reason=""lost"">של</supplied>ם</w>"
odob0032,1,שנת,arc,w,"<w xml:id=""odob0032-1"" xml:lang=""arc"">שנת</w>"
odob0032,2,II,arc,n,"<num xml:id=""odob0032-2"" xml:lang=""arc"" value=""2"">II</num>"
odob0033,1,ניו,arc,w,"<w xml:id=""odob0033-1"" xml:lang=""arc"">ניו</w>"
odob0034,1,דכרון,arc,w,"<w xml:id=""odob0034-1"" xml:lang=""arc"">דכרון</w>"
odob0034,2,טב,arc,w,"<w xml:id=""odob0034-2"" xml:lang=""arc"">טב</w>"
odob0034,3,ושלם,arc,w,"<w xml:id=""odob0034-3"" xml:lang=""arc"">ושלם</w>"
odob0034,4,לחרישו,arc,w,"<w xml:id=""odob0034-4"" xml:lang=""arc"">לחרישו</w>"
odob0034,5,בר,arc,w,"<w xml:id=""odob0034-5"" xml:lang=""arc"">בר</w>"
odob0034,6,פ,arc,naw,"<orig xml:id=""odob0034-6"" xml:lang=""arc"">פ</orig>"
odob0034,7,א,arc,naw,"<orig xml:id=""odob0034-7"" xml:lang=""arc"">א</orig>"
odob0034,8,שלם,arc,w,"<w xml:id=""odob0034-8"" xml:lang=""arc"">שלם</w>"
odob0034,9,ב,arc,naw,"<orig xml:id=""odob0034-9"" xml:lang=""arc"">ב</orig>"
odob0035,1,אושו,arc,w,"<w xml:id=""odob0035-1"" xml:lang=""arc""><supplied reason=""lost"">או</supplied>שו</w>"
odob0035,2,בר,arc,w,"<w xml:id=""odob0035-2"" xml:lang=""arc"">בר</w>"
odob0035,3,בר,arc,w,"<w xml:id=""odob0035-3"" xml:lang=""arc"">בר</w>"
