FileID,Word Num,Normalized,Language,w/n/naw,Element
arbl0001,1,εἷς,grc,w,"<w xml:id=""arbl0001-1"" xml:lang=""grc"">εἷς</w>"
arbl0001,2,θεὸς,grc,w,"<w xml:id=""arbl0001-2"" xml:lang=""grc"">θεὸς</w>"
arbl0001,3,ὁ,grc,w,"<w xml:id=""arbl0001-3"" xml:lang=""grc"">ὁ</w>"
arbl0001,4,νικῶν,grc,w,"<w xml:id=""arbl0001-4"" xml:lang=""grc"">νικῶν</w>"
arbl0001,5,τὰ,grc,w,"<w xml:id=""arbl0001-5"" xml:lang=""grc"">τὰ</w>"
arbl0001,6,κακὰ,grc,w,"<w xml:id=""arbl0001-6"" xml:lang=""grc"">κα<supplied reason=""lost"">κὰ</supplied></w>"
arbl0001,7,Ἰάω,grc,w,"<w xml:id=""arbl0001-7"" xml:lang=""grc"">Ἰάω</w>"
arbl0001,8,θεὸς,grc,w,"<w xml:id=""arbl0001-8"" xml:lang=""grc"">θ<supplied reason=""lost"">εὸς</supplied></w>"
arbl0001,9,εἷς,grc,w,"<w xml:id=""arbl0001-9"" xml:lang=""grc"">εἷς</w>"
arbl0001,10,θεὸς,grc,w,"<w xml:id=""arbl0001-10"" xml:lang=""grc"">θ<supplied reason=""lost"">εὸ</supplied>ς</w>"
arch0006,1,Εἰσέλθε,grc,w,"<w xml:id=""arch0006-1"" xml:lang=""grc"">Εἰσέλθε</w>"
arch0006,2,ἐπ᾽,grc,w,"<w xml:id=""arch0006-2"" xml:lang=""grc"">ἐπ᾽</w>"
arch0006,3,ἀγαθῷ,grc,w,"<w xml:id=""arch0006-3"" xml:lang=""grc"">ἀγαθῷ</w>"
ashk0016,1,ὑπὲρ,grc,w,"<w xml:id=""ashk0016-1"" xml:lang=""grc""><supplied reason=""lost"">ὑπὲρ</supplied></w>"
ashk0016,2,ἀναπαύσεος,grc,w,"<w xml:id=""ashk0016-2"" xml:lang=""grc""><supplied reason=""lost"">ἀναπ</supplied><unclear>α</unclear>ύσεος</w>"
ashk0016,3,Βαρουχίου,grc,w,"<w xml:id=""ashk0016-3"" xml:lang=""grc"">Βαρουχ<supplied reason=""lost"">ίου</supplied></w>"
ashk0016,4,καὶ,grc,w,"<w xml:id=""ashk0016-4"" xml:lang=""grc""><supplied reason=""lost"">κ</supplied><unclear>α</unclear>ὶ</w>"
ashk0016,5,Σαβίνας,grc,w,"<w xml:id=""ashk0016-5"" xml:lang=""grc"">Σαβίνας</w>"
ashk0016,6,καὶ,grc,w,"<w xml:id=""ashk0016-6"" xml:lang=""grc"">καὶ</w>"
ashk0016,7,τῶν,grc,w,"<w xml:id=""ashk0016-7"" xml:lang=""grc"">τ<unclear>ῶ</unclear><supplied reason=""lost"">ν</supplied></w>"
auja0001,1,Ἅγιέ,grc,w,"<w xml:id=""auja0001-1"" xml:lang=""grc"">Ἅγιέ</w>"
auja0001,2,μου,grc,w,"<w xml:id=""auja0001-2"" xml:lang=""grc"">μου</w>"
auja0001,3,Ἀνασ,grc,w,"<w xml:id=""auja0001-3"" xml:lang=""grc"">Ἀνασ</w>"
auja0001,4,τάσιε,grc,w,"<w xml:id=""auja0001-4"" xml:lang=""grc"">τάσι<supplied reason=""omitted"">ε</supplied></w>"
auja0001,5,εὐλόγησον,grc,w,"<w xml:id=""auja0001-5"" xml:lang=""grc"">εὐλόγησον</w>"
auja0001,6,τὴν,grc,w,"<w xml:id=""auja0001-6"" xml:lang=""grc"">τὴν</w>"
auja0001,7,πηγὴν,grc,w,"<w xml:id=""auja0001-7"" xml:lang=""grc"">πηγὴν</w>"
auja0001,8,ταύτην,grc,w,"<w xml:id=""auja0001-8"" xml:lang=""grc"">ταύτην</w>"
auja0001,9,κὲ,grc,w,"<w xml:id=""auja0001-9"" xml:lang=""grc"">κὲ</w>"
auja0001,10,δὸς,grc,w,"<w xml:id=""auja0001-10"" xml:lang=""grc"">δὸς</w>"
auja0001,11,ὑπομονὴν,grc,w,"<w xml:id=""auja0001-11"" xml:lang=""grc"">ὑπομον<supplied reason=""omitted"">ὴν</supplied></w>"
auja0001,12,Ἠλι,grc,w,"<w xml:id=""auja0001-12"" xml:lang=""grc"">Ἠλι</w>"
bata0002,1,Κύριε,grc,w,"<w xml:id=""bata0002-1"" xml:lang=""grc""><expan><abbr>Κ</abbr><ex>ύρι</ex><abbr>ε</abbr></expan></w>"
bata0002,2,ὁ,grc,w,"<w xml:id=""bata0002-2"" xml:lang=""grc"">ὁ</w>"
bata0002,3,"θεός,",grc,w,"<w xml:id=""bata0002-3"" xml:lang=""grc"">θεός,</w>"
bata0002,4,ἀνάπαυσον,grc,w,"<w xml:id=""bata0002-4"" xml:lang=""grc"">ἀνάπαυσον</w>"
bata0002,5,τοῦ,grc,w,"<w xml:id=""bata0002-5"" xml:lang=""grc"">τοῦ</w>"
bata0002,6,δούλου,grc,w,"<w xml:id=""bata0002-6"" xml:lang=""grc"">δούλου</w>"
bata0002,7,σοῦ,grc,w,"<w xml:id=""bata0002-7"" xml:lang=""grc"">σοῦ</w>"
bata0002,8,Ἰωάννου,grc,w,"<w xml:id=""bata0002-8"" xml:lang=""grc""><expan><abbr>Ἰω</abbr><ex>άννου</ex></expan></w>"
bata0002,9,Κληματίου,grc,w,"<w xml:id=""bata0002-9"" xml:lang=""grc"">Κλ<supplied reason=""lost"" cert=""low"">ηματίου</supplied></w>"
bata0002,10,καρποφορήσαντος,grc,w,"<w xml:id=""bata0002-10"" xml:lang=""grc""><expan><abbr><supplied reason=""lost"">κα</supplied>ρπ<supplied reason=""lost"">οφ</supplied></abbr><ex>ορήσαντος</ex></expan></w>"
bata0002,11,νομισματα,grc,w,"<w xml:id=""bata0002-11"" xml:lang=""grc""><expan><abbr>νο</abbr><ex>μισματα</ex></expan></w>"
bata0002,12,β´.,grc,n,"<num xml:id=""bata0002-12"" xml:lang=""grc"" value=""2"">β´.</num>"
bata0003,1,Μνησθῶσιν,grc,w,"<w xml:id=""bata0003-1"" xml:lang=""grc"">Μνησθῶσιν</w>"
bata0003,2,Ζῶσις,grc,w,"<w xml:id=""bata0003-2"" xml:lang=""grc"">Ζῶσ<supplied reason=""omitted"">ι</supplied>ς</w>"
bata0003,3,καὶ,grc,w,"<w xml:id=""bata0003-3"" xml:lang=""grc"">καὶ</w>"
bata0003,4,Εἱμέριος.,grc,w,"<w xml:id=""bata0003-4"" xml:lang=""grc""><expan><abbr>Εἱμέρι</abbr><ex>ο</ex><abbr>ς</abbr></expan>.</w>"
bata0003,5,"Kύριε,",grc,w,"<w xml:id=""bata0003-5"" xml:lang=""grc""><expan><abbr>K</abbr><ex>ύρι</ex><abbr>ε</abbr></expan>,</w>"
bata0003,6,μνήσθητι,grc,w,"<w xml:id=""bata0003-6"" xml:lang=""grc"">μνήσ<supplied reason=""omitted"">θ</supplied>η<supplied reason=""omitted"">τ</supplied>ι</w>"
bata0003,7,Μαξιμοῦ,grc,w,"<w xml:id=""bata0003-7"" xml:lang=""grc"">Μαξιμοῦ</w>"
bata0003,8,τοῦ,grc,w,"<w xml:id=""bata0003-8"" xml:lang=""grc"">τοῦ</w>"
bata0003,9,πρεσβυτέρου.,grc,w,"<w xml:id=""bata0003-9"" xml:lang=""grc"">πρεσβυτέρου.</w>"
bata0003,10,"Kύριε,",grc,w,"<w xml:id=""bata0003-10"" xml:lang=""grc""><expan><abbr>K</abbr><ex>ύρι</ex><abbr>ε</abbr></expan>,</w>"
bata0003,11,μνήσθητι,grc,w,"<w xml:id=""bata0003-11"" xml:lang=""grc"">μνήσ<supplied reason=""omitted"">θ</supplied>η<supplied reason=""omitted"">τ</supplied>ι</w>"
bata0003,12,τοῦ,grc,w,"<w xml:id=""bata0003-12"" xml:lang=""grc"">τοῦ</w>"
bata0003,13,δούλου,grc,w,"<w xml:id=""bata0003-13"" xml:lang=""grc"">δούλου</w>"
bata0003,14,σοῦ,grc,w,"<w xml:id=""bata0003-14"" xml:lang=""grc"">σοῦ</w>"
bata0003,15,Προκοπίου,grc,w,"<w xml:id=""bata0003-15"" xml:lang=""grc"">Προκοπίου</w>"
bata0003,16,τοῦ,grc,w,"<w xml:id=""bata0003-16"" xml:lang=""grc"">τοῦ</w>"
bata0003,17,πρεσβυτέρου.,grc,w,"<w xml:id=""bata0003-17"" xml:lang=""grc""><expan><abbr>π</abbr><ex>ρεσβυτέρου</ex></expan>.</w>"
bata0003,18,Θεόδωρος,grc,w,"<w xml:id=""bata0003-18"" xml:lang=""grc"">Θεόδωρος</w>"
bata0003,19,ὑποδιάκων,grc,w,"<w xml:id=""bata0003-19"" xml:lang=""grc"">ὑποδιάκων</w>"
bata0003,20,γράμμα.,grc,w,"<w xml:id=""bata0003-20"" xml:lang=""grc"">γράμμα.</w>"
bata0003,21,Βαράχεος,grc,w,"<w xml:id=""bata0003-21"" xml:lang=""grc"">Βαράχεος</w>"
bata0003,22,διάκων,grc,w,"<w xml:id=""bata0003-22"" xml:lang=""grc"">διάκων</w>"
bata0003,23,γράμματος,grc,w,"<w xml:id=""bata0003-23"" xml:lang=""grc"">γράμματος</w>"
bata0003,24,τὸ,grc,w,"<w xml:id=""bata0003-24"" xml:lang=""grc"">τὸ</w>"
bata0003,25,ἥμισυ.,grc,w,"<w xml:id=""bata0003-25"" xml:lang=""grc"">ἥμ<supplied reason=""omitted"">ι</supplied>συ.</w>"
bata0003,26,Ἄππας,grc,w,"<w xml:id=""bata0003-26"" xml:lang=""grc"">Ἄππας</w>"
bata0003,27,διάκων,grc,w,"<w xml:id=""bata0003-27"" xml:lang=""grc"">διάκων</w>"
bata0003,28,γράμμα.,grc,w,"<w xml:id=""bata0003-28"" xml:lang=""grc"">γράμμα.</w>"
bata0003,29,Μνησθῶσιν,grc,w,"<w xml:id=""bata0003-29"" xml:lang=""grc"">Μνησθῶσιν</w>"
bata0003,30,Λεόντιος,grc,w,"<w xml:id=""bata0003-30"" xml:lang=""grc""><expan><abbr>Λεόντι</abbr><ex>ο</ex><abbr>ς</abbr></expan></w>"
bata0003,31,κὲ,grc,w,"<w xml:id=""bata0003-31"" xml:lang=""grc"">κὲ</w>"
bata0003,32,Γλυκέριος,grc,w,"<w xml:id=""bata0003-32"" xml:lang=""grc""><expan><abbr>Γλυκέρι</abbr><ex>ο</ex><abbr>ς</abbr></expan></w>"
bata0003,33,κὲ,grc,w,"<w xml:id=""bata0003-33"" xml:lang=""grc"">κὲ</w>"
bata0003,34,Φηρμῖνος,grc,w,"<w xml:id=""bata0003-34"" xml:lang=""grc"">Φηρμῖνος</w>"
bata0003,35,κὲ,grc,w,"<w xml:id=""bata0003-35"" xml:lang=""grc"">κὲ</w>"
bata0003,36,Σευῆρος.,grc,w,"<w xml:id=""bata0003-36"" xml:lang=""grc"">Σευῆρος.</w>"
bata0003,37,Ἐπιφάνιος,grc,w,"<w xml:id=""bata0003-37"" xml:lang=""grc""><expan><abbr>Ἐπιφάνι</abbr><ex>ο</ex><abbr>ς</abbr></expan></w>"
bata0003,38,ὑποδιάκων,grc,w,"<w xml:id=""bata0003-38"" xml:lang=""grc"">ὑποδιάκων</w>"
bata0003,39,γράμμα.,grc,w,"<w xml:id=""bata0003-39"" xml:lang=""grc"">γράμμα.</w>"
bata0003,40,Μνησθῇ,grc,w,"<w xml:id=""bata0003-40"" xml:lang=""grc""><supplied reason=""lost"">Μνησθῇ</supplied></w>"
bata0003,41,οἰκονόμος,grc,w,"<w xml:id=""bata0003-41"" xml:lang=""grc""><supplied reason=""lost"">οἰ</supplied>κονόμος</w>"
bata0003,42,τῆς,grc,w,"<w xml:id=""bata0003-42"" xml:lang=""grc"">τῆς</w>"
bata0003,43,ἐκλησίας.,grc,w,"<w xml:id=""bata0003-43"" xml:lang=""grc"">ἐκλησίας.</w>"
bata0003,44,διάκονος,grc,w,"<w xml:id=""bata0003-44"" xml:lang=""grc""><supplied reason=""lost"">διά</supplied>κονος</w>"
bata0003,45,γράμμα.,grc,w,"<w xml:id=""bata0003-45"" xml:lang=""grc"">γράμμα.</w>"
bata0003,46,Μνησθῇ,grc,w,"<w xml:id=""bata0003-46"" xml:lang=""grc""><supplied reason=""lost"">Μνησθῇ</supplied></w>"
bata0003,47,ίουτου,grc,naw,"<orig xml:id=""bata0003-47"" xml:lang=""grc""><choice><unclear>ίου</unclear><unclear>του</unclear></choice></orig>"
