FileID,Word Num,Normalized,Language,w/n/naw,Element
jeru0638,1,בלק,he,w,"<w xml:id=""jeru0638-1"" xml:lang=""he"">ב<choice><unclear>ל</unclear><unclear>ק</unclear></choice></w>"
jeru0638,2,לתמוז,he,w,"<w xml:id=""jeru0638-2"" xml:lang=""he"">לתמוז</w>"
jeru0638,3,שנת,he,w,"<w xml:id=""jeru0638-3"" xml:lang=""he"">שנת</w>"
jeru0638,4,תשעין,he,w,"<w xml:id=""jeru0638-4"" xml:lang=""he"">תשעין</w>"
jeru0638,5,ותשע,he,w,"<w xml:id=""jeru0638-5"" xml:lang=""he"">ותשע</w>"
jeru0638,6,להורקנוס,he,w,"<w xml:id=""jeru0638-6"" xml:lang=""he"">להורקנוס</w>"
jeru0638,7,התשצא,he,w,"<w xml:id=""jeru0638-7"" xml:lang=""he"">התשצא</w>"
jeru0638,8,ככא,he,w,"<w xml:id=""jeru0638-8"" xml:lang=""he"">ככא</w>"
jeru0638,9,לשמעון,he,w,"<w xml:id=""jeru0638-9"" xml:lang=""he"">לשמעון</w>"
jeru0659,1,ר,he,w,"<w xml:id=""jeru0659-1"" xml:lang=""he"">ר</w>"
jeru0659,2,'''',he,n,"<num xml:id=""jeru0659-2"" xml:lang=""he"" value=""4"">''''</num>"
jeru0659,3,''',he,n,"<num xml:id=""jeru0659-3"" xml:lang=""he"" value=""3"">'''</num>"
jeru0659,4,''',he,n,"<num xml:id=""jeru0659-4"" xml:lang=""he"" value=""3"">'''</num>"
jeru0659,5,שמעון,he,w,"<w xml:id=""jeru0659-5"" xml:lang=""he""><supplied reason=""lost"">ש</supplied>מעון</w>"
jeru0659,6,מ,he,w,"<w xml:id=""jeru0659-6"" xml:lang=""he"">מ</w>"
jeru0659,7,ר''''''''',he,n,"<num xml:id=""jeru0659-7"" xml:lang=""he"" value=""9""><supplied reason=""lost"">ר</supplied>'''''''''</num>"
jeru0659,8,מ,he,w,"<w xml:id=""jeru0659-8"" xml:lang=""he"">מ</w>"
jeru0659,9,''',he,n,"<num xml:id=""jeru0659-9"" xml:lang=""he"" value=""3"">'''</num>"
jeru0659,10,ר'''',he,n,"<num xml:id=""jeru0659-10"" xml:lang=""he"" value=""4""><supplied reason=""lost"">ר</supplied>''''</num>"
jeru0659,11,מ,he,w,"<w xml:id=""jeru0659-11"" xml:lang=""he"">מ</w>"
