FileID,Word Num,Normalized,Language,w/n/naw,Element
nest0001,1,אתקנת,syc,w,"<w xml:id=""nest0001-1"" xml:lang=""syc"">אתקנת</w>"
nest0001,2,דירא,syc,w,"<w xml:id=""nest0001-2"" xml:lang=""syc"">דירא</w>"
nest0001,3,ביומוהי,syc,w,"<w xml:id=""nest0001-3"" xml:lang=""syc"">ביומוהי</w>"
nest0001,4,דדניאיל,syc,w,"<w xml:id=""nest0001-4"" xml:lang=""syc"">דדניאיל</w>"
nest0001,5,בר,syc,w,"<w xml:id=""nest0001-5"" xml:lang=""syc"">בר</w>"
nest0001,6,"חוזא,",syc,w,"<w xml:id=""nest0001-6"" xml:lang=""syc"">חוזא,</w>"
nest0001,7,יוחנן,syc,w,"<w xml:id=""nest0001-7"" xml:lang=""syc"">יוחנן</w>"
nest0001,8,בר,syc,w,"<w xml:id=""nest0001-8"" xml:lang=""syc"">בר</w>"
nest0001,9,פרסיא,syc,w,"<w xml:id=""nest0001-9"" xml:lang=""syc"">פרסיא</w>"
nest0001,10,וישועדד,syc,w,"<w xml:id=""nest0001-10"" xml:lang=""syc"">וישועדד</w>"
nest0001,11,בר,syc,w,"<w xml:id=""nest0001-11"" xml:lang=""syc"">בר</w>"
nest0001,12,קטריא,syc,w,"<w xml:id=""nest0001-12"" xml:lang=""syc"">קטריא</w>"
nest0001,13,ובעיא,syc,w,"<w xml:id=""nest0001-13"" xml:lang=""syc"">ובעיא</w>"
nest0001,14,בר,syc,w,"<w xml:id=""nest0001-14"" xml:lang=""syc"">בר</w>"
nest0001,15,שהרזורא.,syc,w,"<w xml:id=""nest0001-15"" xml:lang=""syc"">שהרזורא.</w>"
nest0001,16,דמרן,syc,w,"<w xml:id=""nest0001-16"" xml:lang=""syc"">דמרן</w>"
nest0001,17,נחון,syc,w,"<w xml:id=""nest0001-17"" xml:lang=""syc"">נחון</w>"
nest0001,18,אנון,syc,w,"<w xml:id=""nest0001-18"" xml:lang=""syc"">אנון</w>"
nest0001,19,ביומא,syc,w,"<w xml:id=""nest0001-19"" xml:lang=""syc"">ביומא</w>"
nest0001,20,ד,syc,w,"<w xml:id=""nest0001-20"" xml:lang=""syc"">ד</w>"
nest0001,21,דינא.,syc,w,"<w xml:id=""nest0001-21"" xml:lang=""syc"">דינא.</w>"
